well_id,well_name,location,decline_type,complication_type,month_index,date,oil_rate,gas_rate,water_rate,event_note
1,WELL-01,Bonny,exponential,none,1,2024-01-01,784.3,774.5,84.7,
1,WELL-01,Bonny,exponential,none,2,2024-02-01,842.6,810.5,101.4,
1,WELL-01,Bonny,exponential,none,3,2024-03-01,747.5,729.7,99.5,
1,WELL-01,Bonny,exponential,none,4,2024-04-01,746.1,752.8,109.0,
1,WELL-01,Bonny,exponential,none,5,2024-05-01,736.8,683.1,117.4,
1,WELL-01,Bonny,exponential,none,6,2024-06-01,664.0,708.0,114.8,
1,WELL-01,Bonny,exponential,none,7,2024-07-01,648.5,790.2,121.2,
1,WELL-01,Bonny,exponential,none,8,2024-08-01,628.4,780.1,126.4,
1,WELL-01,Bonny,exponential,none,9,2024-09-01,605.4,649.1,130.6,
1,WELL-01,Bonny,exponential,none,10,2024-10-01,584.6,666.6,134.9,
1,WELL-01,Bonny,exponential,none,11,2024-11-01,566.0,793.8,139.3,
1,WELL-01,Bonny,exponential,none,12,2024-12-01,576.9,621.6,151.0,
1,WELL-01,Bonny,exponential,none,13,2025-01-01,599.2,698.8,166.5,
1,WELL-01,Bonny,exponential,none,14,2025-02-01,536.1,576.6,157.8,
1,WELL-01,Bonny,exponential,none,15,2025-03-01,482.5,515.3,150.3,
1,WELL-01,Bonny,exponential,none,16,2025-04-01,476.6,589.3,156.7,
1,WELL-01,Bonny,exponential,none,17,2025-05-01,447.6,643.7,155.2,
1,WELL-01,Bonny,exponential,none,18,2025-06-01,440.4,483.2,160.8,
1,WELL-01,Bonny,exponential,none,19,2025-07-01,447.3,662.4,171.8,
1,WELL-01,Bonny,exponential,none,20,2025-08-01,407.9,600.1,164.6,
1,WELL-01,Bonny,exponential,none,21,2025-09-01,383.0,452.4,162.2,
1,WELL-01,Bonny,exponential,none,22,2025-10-01,376.1,514.2,167.0,
1,WELL-01,Bonny,exponential,none,23,2025-11-01,392.7,533.8,182.7,
1,WELL-01,Bonny,exponential,none,24,2025-12-01,372.3,538.0,181.2,
2,WELL-02,Forcados,hyperbolic,none,1,2024-01-01,1129.3,1364.0,148.4,
2,WELL-02,Forcados,hyperbolic,none,2,2024-02-01,1050.3,1007.3,151.6,
2,WELL-02,Forcados,hyperbolic,none,3,2024-03-01,1012.1,1053.3,159.5,
2,WELL-02,Forcados,hyperbolic,none,4,2024-04-01,988.7,1029.0,169.2,
2,WELL-02,Forcados,hyperbolic,none,5,2024-05-01,957.4,970.9,177.1,
2,WELL-02,Forcados,hyperbolic,none,6,2024-06-01,850.0,850.4,169.3,
2,WELL-02,Forcados,hyperbolic,none,7,2024-07-01,843.7,1120.8,180.4,
2,WELL-02,Forcados,hyperbolic,none,8,2024-08-01,816.0,1118.8,186.6,
2,WELL-02,Forcados,hyperbolic,none,9,2024-09-01,715.3,760.1,174.5,
2,WELL-02,Forcados,hyperbolic,none,10,2024-10-01,736.6,993.4,191.2,
2,WELL-02,Forcados,hyperbolic,none,11,2024-11-01,668.2,782.1,184.2,
2,WELL-02,Forcados,hyperbolic,none,12,2024-12-01,627.3,716.7,183.3,
2,WELL-02,Forcados,hyperbolic,none,13,2025-01-01,604.7,772.1,186.9,
2,WELL-02,Forcados,hyperbolic,none,14,2025-02-01,543.2,854.0,177.3,Decline shape shifted: hyperbolic to exponential
2,WELL-02,Forcados,hyperbolic,none,15,2025-03-01,505.7,588.9,174.1,
2,WELL-02,Forcados,hyperbolic,none,16,2025-04-01,533.8,667.0,193.6,
2,WELL-02,Forcados,hyperbolic,none,17,2025-05-01,511.9,582.4,195.3,
2,WELL-02,Forcados,hyperbolic,none,18,2025-06-01,507.4,596.7,203.4,
2,WELL-02,Forcados,hyperbolic,none,19,2025-07-01,508.0,624.2,213.7,
2,WELL-02,Forcados,hyperbolic,none,20,2025-08-01,456.4,675.1,201.3,
2,WELL-02,Forcados,hyperbolic,none,21,2025-09-01,468.3,588.5,216.5,
2,WELL-02,Forcados,hyperbolic,none,22,2025-10-01,435.3,541.4,210.6,
2,WELL-02,Forcados,hyperbolic,none,23,2025-11-01,432.6,607.4,219.0,
2,WELL-02,Forcados,hyperbolic,none,24,2025-12-01,418.3,504.4,221.4,
3,WELL-03,Escravos,exponential,none,1,2024-01-01,430.5,437.6,61.2,
3,WELL-03,Escravos,exponential,none,2,2024-02-01,400.2,510.0,62.2,
3,WELL-03,Escravos,exponential,none,3,2024-03-01,399.2,491.9,67.4,
3,WELL-03,Escravos,exponential,none,4,2024-04-01,400.6,493.4,73.2,
3,WELL-03,Escravos,exponential,none,5,2024-05-01,384.0,502.4,75.6,
3,WELL-03,Escravos,exponential,none,6,2024-06-01,385.3,439.5,81.5,
3,WELL-03,Escravos,exponential,none,7,2024-07-01,393.3,506.7,89.0,
3,WELL-03,Escravos,exponential,none,8,2024-08-01,370.1,470.4,89.4,
3,WELL-03,Escravos,exponential,none,9,2024-09-01,362.4,372.1,93.2,
3,WELL-03,Escravos,exponential,none,10,2024-10-01,356.2,340.8,97.3,
3,WELL-03,Escravos,exponential,none,11,2024-11-01,347.5,426.3,100.6,
